"name","state","White","Black","Hispanic","Asian","Women","World.Rank","National.Rank","Men","act-avg","sat-avg","acceptance-rate","percent-receiving-aid","cost-after-aid","institutionalControl","tuition","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent"
"University of Missouri","Missouri",76.3867325335215,7.20677487649965,3.28863796753705,2.25264643613267,52.8355681016231,182,69,47.1644318983769,23,1020,75,33,27962,"public",26506,52300,98600,49,17
"Stony Brook University","New York",39.4318689803714,5.92920713618076,9.17625066038119,18.8198480107287,48.8560165806478,193,70,51.1439834193522,26,1150,41,13,34024,"public",26297,59200,107800,49,35
"University of Alabama at Birmingham","Alabama",63.322280457803,21.0878168788106,2.65269012728634,4.97914215424109,60.3700930580811,197,71,39.6299069419189,21,965,89,NA,NA,"public",23790,48600,87200,57,17
"University of Texas Health Science Center at Houston","Texas",42.1861281826163,8.01141352063213,15.2546093064091,15.188762071993,64.3985952589991,200,72,35.6014047410009,NA,NA,NA,NA,NA,"public",NA,65400,109400,80,14
"University of Miami","Florida",40.6381192275399,7.01091519731318,21.1466954540002,5.71548518651793,51.1035144536404,201,73,48.8964855463596,28,1210,38,33,34479,"private",48484,56200,99600,48,22
"University of California, Riverside","California",16.5131640152572,4.27946785747511,33.1193599404596,32.7658386826682,50.8698483579868,204,75,49.1301516420132,21,940,66,15,41753,"public",41931,NA,NA,NA,NA
"Virginia Commonwealth University","Virginia",52.1686981327801,15.5536825726141,6.48988589211618,11.71875,57.9065093360996,206,76,42.0934906639004,21,980,75,NA,NA,"public",32942,49900,88200,52,18
"University of Georgia","Georgia",69.7985623774753,7.96942921271699,4.65096457084411,8.12285137937892,57.6071824303208,207,77,42.3928175696792,26,1140,54,13,30943,"public",30392,54400,100700,45,14
"University of California, Santa Cruz","California",35.8446210679503,1.89745886040524,29.8164110601142,19.2320608977947,52.0597783499384,208,78,47.9402216500616,23,1060,59,18,47616,"public",42042,NA,NA,NA,NA
"University of Kansas","Kansas",70.4083885209713,4.16850625459897,5.71743929359823,3.97718910963944,51.3245033112583,215,80,48.6754966887417,23,NA,93,30,30962,"public",26592,53000,98600,52,16
"Oregon Health & Science University","Oregon",73.1911918909472,1.2233484795526,5.27787486892695,9.96155190492835,65.047186298497,216,81,34.952813701503,NA,NA,NA,NA,NA,"public",NA,65400,108300,79,10
"University of Illinois at Chicago","Illinois",40.0836640566341,7.84439915620866,19.4322285387393,18.6956988093961,53.6665594050556,220,82,46.3334405949444,21,990,74,31,39033,"public",27672,56300,103800,48,31
"Wake Forest University","North Carolina",71.3148433487416,8.30765279917822,5.55983564458141,4.25012840267078,51.2583461736004,224,83,48.7416538263996,28,1240,30,30,24241,"private",51400,60700,114800,44,13
"Yeshiva University","New York",64.461247637051,2.26843100189036,3.13484562066793,4.5526149968494,51.7170762444864,229,84,48.2829237555136,23,1090,51,46,34756,"private",42000,63500,112800,40,11
"University of Cincinnati","Ohio",70.5207713873078,7.12768668762212,2.78934103587914,3.24243196556509,53.5496842522584,231,85,46.4503157477416,23,1030,76,28,35124,"public",26334,53600,97300,50,19
"Colorado State University","Colorado",72.0673598264974,2.24213816418958,9.12802194297378,2.6184856796581,51.4639280474581,233,86,48.5360719525419,22,1020,78,16,39497,"public",29140,53500,96100,51,28
"University of Houston","Texas",28.9754118394682,10.1994427335386,26.8709977024979,19.8416190057193,49.3327467370582,234,87,50.6672532629418,23,1040,59,NA,NA,"public",27337,56000,103900,50,24
